date,open_price,high_price,low_price,price,volume
2025-03-27,617.8855000907927,617.8855000907927,617.8855000907927,617.8855000907927,753910960.6847237
2025-03-28,637.6132125269871,637.6132125269871,637.6132125269871,637.6132125269871,2057147067.1925929
2025-03-29,619.5224559274657,619.5224559274657,619.5224559274657,619.5224559274657,1035501259.6012462
2025-03-30,604.0434442333641,604.0434442333641,604.0434442333641,604.0434442333641,842143967.4297414
2025-03-31,601.4706478405623,601.4706478405623,601.4706478405623,601.4706478405623,627788963.5666428
2025-04-01,605.503011770793,605.503011770793,605.503011770793,605.503011770793,971533504.8477681
2025-04-02,611.0283776490112,611.0283776490112,611.0283776490112,611.0283776490112,1657684601.5836525
2025-04-03,589.8692678191657,589.8692678191657,589.8692678191657,589.8692678191657,1345311302.234874
2025-04-04,592.4642522121785,592.4642522121785,592.4642522121785,592.4642522121785,1425802222.9961252
2025-04-05,597.7592047746326,597.7592047746326,597.7592047746326,597.7592047746326,757406570.5501016
2025-04-06,594.0888077893536,594.0888077893536,594.0888077893536,594.0888077893536,352847322.8179597
2025-04-07,554.4379559214581,554.4379559214581,554.4379559214581,554.4379559214581,768924462.5165749
2025-04-08,554.1601019762941,554.1601019762941,554.1601019762941,554.1601019762941,2333452106.558698
2025-04-09,553.3962669418149,553.3962669418149,553.3962669418149,553.3962669418149,932386850.4083754
2025-04-10,582.2597810033054,582.2597810033054,582.2597810033054,582.2597810033054,1253107793.6282017
2025-04-11,577.2921769307156,577.2921769307156,577.2921769307156,577.2921769307156,1043288449.4822325
2025-04-12,586.1297244063287,586.1297244063287,586.1297244063287,586.1297244063287,590735620.7426767
2025-04-13,596.9496743252538,596.9496743252538,596.9496743252538,596.9496743252538,481290566.3951808
2025-04-14,583.6441112439634,583.6441112439634,583.6441112439634,583.6441112439634,492926645.23925036
2025-04-15,584.5130373558429,584.5130373558429,584.5130373558429,584.5130373558429,530197263.3245282
2025-04-16,579.7117342988385,579.7117342988385,579.7117342988385,579.7117342988385,431419209.1282797
2025-04-17,582.9884895445316,582.9884895445316,582.9884895445316,582.9884895445316,590793445.4085172
2025-04-18,590.1449424870344,590.1449424870344,590.1449424870344,590.1449424870344,523349165.51611936
2025-04-19,591.7558249048697,591.7558249048697,591.7558249048697,591.7558249048697,560183796.0745611
2025-04-20,592.1191922418601,592.1191922418601,592.1191922418601,592.1191922418601,359734262.96070373
2025-04-21,592.9015532596577,592.9015532596577,592.9015532596577,592.9015532596577,427574407.8731377
2025-04-22,596.742721454172,596.742721454172,596.742721454172,596.742721454172,608725679.9225554
2025-04-23,617.6497009116878,617.6497009116878,617.6497009116878,617.6497009116878,924934985.74546
2025-04-24,606.1742820090113,606.1742820090113,606.1742820090113,606.1742820090113,1089223877.3345106
2025-04-25,602.1970676660677,602.1970676660677,602.1970676660677,602.1970676660677,775858994.180891
2025-04-26,600.1913883958081,600.1913883958081,600.1913883958081,600.1913883958081,941984394.0665632
2025-04-27,607.8085377229048,607.8085377229048,607.8085377229048,607.8085377229048,632964213.2153282
2025-04-28,603.5371460135477,603.5371460135477,603.5371460135477,603.5371460135477,548378967.0336518
2025-04-29,606.1285517158251,606.1285517158251,606.1285517158251,606.1285517158251,532276423.2081352
2025-04-30,600.5889575399475,600.5889575399475,600.5889575399475,600.5889575399475,779335060.0841132
2025-05-01,599.6302002732988,599.6302002732988,599.6302002732988,599.6302002732988,717769059.8961756
2025-05-02,599.5796914410877,599.5796914410877,599.5796914410877,599.5796914410877,586779850.2435153
2025-05-03,601.3244678537958,601.3244678537958,601.3244678537958,601.3244678537958,609320858.6024743
2025-05-04,599.2468842902798,599.2468842902798,599.2468842902798,599.2468842902798,383958586.52879804
2025-05-05,585.8899216562841,585.8899216562841,585.8899216562841,585.8899216562841,541509182.9932485
2025-05-06,597.9661578698278,597.9661578698278,597.9661578698278,597.9661578698278,712215748.698297
2025-05-07,603.0175211984405,603.0175211984405,603.0175211984405,603.0175211984405,821085162.8042526
2025-05-08,603.144369158166,603.144369158166,603.144369158166,603.144369158166,717897444.1413444
2025-05-09,628.2798237375861,628.2798237375861,628.2798237375861,628.2798237375861,1315286906.535402
2025-05-10,666.6606824091106,666.6606824091106,666.6606824091106,666.6606824091106,1717143713.0552378
2025-05-11,662.3379085253329,662.3379085253329,662.3379085253329,662.3379085253329,1549618220.9985394
2025-05-12,650.8664613901699,650.8664613901699,650.8664613901699,650.8664613901699,1186159482.5022006
2025-05-13,660.9533536861077,660.9533536861077,660.9533536861077,660.9533536861077,1968342045.487355
2025-05-14,666.2402578411695,666.2402578411695,666.2402578411695,666.2402578411695,1513422041.332075
2025-05-15,651.6490150180347,651.6490150180347,651.6490150180347,651.6490150180347,1223304236.5479276
2025-05-16,651.1362648113163,651.1362648113163,651.1362648113163,651.1362648113163,1206761924.2527664
2025-05-17,647.3412018782846,647.3412018782846,647.3412018782846,647.3412018782846,900231018.9448881
2025-05-18,639.5979769763185,639.5979769763185,639.5979769763185,639.5979769763185,679492837.9963502
2025-05-19,649.3806686821907,649.3806686821907,649.3806686821907,649.3806686821907,835970956.2085127
2025-05-20,651.0389804540937,651.0389804540937,651.0389804540937,651.0389804540937,825481514.59589
2025-05-21,650.951301036078,650.951301036078,650.951301036078,650.951301036078,763647929.5303316
2025-05-22,674.7138326551593,674.7138326551593,674.7138326551593,674.7138326551593,1565136776.7436197
2025-05-23,686.0302393255067,686.0302393255067,686.0302393255067,686.0302393255067,1382711893.5086522
2025-05-24,655.3681110510369,655.3681110510369,655.3681110510369,655.3681110510369,1217926335.781693
2025-05-25,667.9647953294073,667.9647953294073,667.9647953294073,667.9647953294073,693430871.7905037
2025-05-26,670.0121393931087,670.0121393931087,670.0121393931087,670.0121393931087,768619050.9190482
2025-05-27,673.7837605333261,673.7837605333261,673.7837605333261,673.7837605333261,666132639.4545316
2025-05-28,687.4363026293119,687.4363026293119,687.4363026293119,687.4363026293119,1078653384.123821
2025-05-29,687.631059296252,687.631059296252,687.631059296252,687.631059296252,824780509.8660014
2025-05-30,675.4110812815895,675.4110812815895,675.4110812815895,675.4110812815895,995474417.0429969
2025-05-31,656.2031380761879,656.2031380761879,656.2031380761879,656.2031380761879,923659967.2299035
2025-06-01,658.5726942750157,658.5726942750157,658.5726942750157,658.5726942750157,589938636.7962121
2025-06-02,661.3452261434389,661.3452261434389,661.3452261434389,661.3452261434389,513744446.15491945
